material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
68,Aluminum Foil,30.6,54.3,80.0,65.5,69.8,260.58,packaging
37,Aluminum Foil,42.8,38.8,90.0,50.5,44.6,198.0,pharma;toys
92,PBS Biopolymer,36.6,15.9,60.0,68.6,58.2,150.62,fragile_goods
84,Mycelium Composite,56.9,23.8,10.0,20.3,54.5,64.0,household;packaging
55,PLA-Coated Paper,32.6,31.7,98.0,36.8,66.8,27.41,packaging
51,Paper Honeycomb Board,27.9,5.0,60.0,54.6,52.1,62.19,industrial;luxury
71,Kraft Paper,27.9,41.8,90.0,57.6,28.4,74.64,agriculture;medical
47,Biodegradable Foam,43.0,18.1,70.0,81.7,67.1,74.81,cosmetics
48,3D-PRINTED PLA,27.2,80.7,60.0,69.4,52.2,122.92,agriculture;food
62,PLA-GF Composite,32.0,39.6,0.0,59.6,47.1,92.55,furniture;toys
99,Aluminum Foil,23.4,71.0,90.0,64.8,60.8,166.55,furniture
98,Glass Composite,34.1,22.3,95.0,55.7,54.5,260.64,agriculture;beverages
42,Steel Can Sheet,55.6,61.3,10.0,41.8,53.7,138.0,household;toys
59,Nanocellulose Board,44.8,24.3,98.0,71.9,73.2,105.26,furniture;pharma
49,Recycled PET,33.3,36.2,95.0,68.5,54.5,80.78,toys
91,PLA-PHB Blend,15.5,44.9,70.0,49.2,60.8,76.28,cosmetics;industrial
58,Aluminum Composite,25.4,56.7,60.0,55.7,32.2,113.67,food
76,Sugarcane Bagasse,37.0,30.6,0.0,17.7,51.8,45.36,agriculture;industrial
33,PLA Bioplastic,3.0,30.2,90.0,76.9,44.8,156.55,food
99,Aluminum Foil,23.4,71.0,90.0,64.8,60.8,166.55,furniture
60,PLA-PHB BLEND,30.7,49.7,0.0,62.4,35.5,182.13,beverages;fragile_goods
64,PLA Bioplastic,27.9,32.0,90.0,45.1,54.1,166.99,packaging
89,Aluminum Composite,5.5,53.1,60.0,78.4,15.7,288.39,medical
38,Corrugated Cardboard,3.0,62.4,40.0,15.8,41.4,43.11,luxury;medical
30,PBS Biopolymer,33.3,32.4,15.0,49.2,37.2,120.35,automotive;retail
94,Recycled Paperboard,3.0,47.0,80.0,55.7,31.4,20.52,retail
2,PLA BIOPLASTIC,45.2,5.0,0.0,70.9,54.5,109.0,agriculture;fragile_goods
53,Mycelium Composite,4.6,18.8,10.0,54.5,68.9,113.21,industrial;medical
22,Mycelium Composite,20.9,35.0,70.0,43.6,72.5,161.78,industrial;toys
3,HDPE Plastic,37.9,34.4,40.0,74.0,35.2,145.21,packaging
24,PLA-Coated Paper,23.0,35.9,60.0,68.9,98.7,113.44,agriculture
88,Recycled Glass,27.9,5.0,70.0,79.3,84.1,399.69,automotive
96,HDPE Plastic,36.8,47.5,60.0,95.0,42.3,97.77,electronics;household
75,Starch-Based Biopolymer,15.9,64.1,60.0,46.2,77.9,150.32,cosmetics
87,Bio-based Polyurethane,25.0,38.7,50.0,55.7,40.9,136.06,fragile_goods
83,Wheat Straw Fiber,27.9,6.1,50.0,86.9,54.5,113.44,luxury
21,Wheat Straw Fiber,12.2,36.2,15.0,47.8,50.3,88.0,industrial;luxury
61,PBS Biopolymer,23.5,29.4,10.0,41.2,78.0,129.56,cosmetics
72,LDPE Flexible Film,46.2,55.2,50.0,55.7,66.7,96.03,automotive;furniture
15,Hemp Fiber Composite,26.0,84.0,30.0,12.7,72.6,101.0,agriculture
93,PLA-GF Composite,26.3,14.7,20.0,69.1,48.5,238.0,fragile_goods;pharma
52,Wheat Straw Fiber,27.2,48.0,0.0,39.7,56.8,94.79,automotive
71,Kraft Paper,27.9,41.8,90.0,57.6,28.4,74.64,agriculture;medical
