Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Biodegradation Time (days),Recyclability (%),Recycled Content (%),Reusability (%),End-of-Life Disposal (%),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Region,Supplier Sustainability Compliance (%),Packaging Type,Suitable Product Categories,Recommended Packaging Use Cases,Recyclability Category
0.77,0.49,352.0,100.0,80.0,50.0,5.0,65.0,91.0,4.0,5.0,3.0,2.59,97310.0,846.0,EU,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.07,1.39,13499.0,86.0,49.0,95.0,10.0,81.0,88.0,7.0,7.0,7.0,14.96,50168.0,1012.0,APAC,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.48,2.85,65795.0,93.0,68.0,100.0,9.0,88.0,79.0,9.0,10.0,10.0,24.67,20183.0,4942.0,APAC,80.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.62,0.31,157.0,100.0,91.0,33.0,2.0,63.0,91.0,1.0,3.0,2.0,1.75,71864.0,550.0,EU,75.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
3.65,2.97,169695.0,89.0,70.0,97.0,8.0,83.0,71.0,9.0,9.0,10.0,24.23,19011.0,5005.0,EU,85.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.49,0.31,104.0,100.0,84.0,32.0,2.0,69.0,95.0,2.0,1.0,3.0,1.83,78051.0,715.0,EMEA,84.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.24,1.5,16331.0,84.0,50.0,95.0,10.0,78.0,90.0,7.0,8.0,8.0,14.57,51901.0,1113.0,ROW,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.89,1.41,98971.0,80.0,42.0,91.0,12.0,77.0,91.0,8.0,8.0,8.0,11.76,60578.0,1249.0,EMEA,93.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.86,0.49,90.0,100.0,76.0,52.0,5.0,58.0,85.0,4.0,4.0,4.0,3.23,96300.0,867.0,EMEA,89.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.19,1.44,64030.0,88.0,51.0,94.0,10.0,75.0,82.0,9.0,9.0,7.0,14.48,51009.0,930.0,EMEA,96.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.94,0.49,298.0,93.0,77.0,49.0,5.0,51.0,88.0,5.0,5.0,3.0,2.68,99951.0,850.0,ROW,93.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
2.14,1.44,64044.0,78.0,24.0,10.0,25.0,32.0,60.0,9.0,9.0,8.0,1.18,27055.0,315.0,LATAM,72.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.01,1.56,69350.0,81.0,36.0,89.0,13.0,79.0,83.0,9.0,9.0,7.0,11.28,62593.0,1284.0,APAC,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.92,1.47,70484.0,79.0,41.0,89.0,12.0,72.0,87.0,9.0,8.0,8.0,11.84,60648.0,1209.0,EMEA,96.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.19,1.61,89963.0,87.0,49.0,94.0,10.0,80.0,91.0,9.0,7.0,6.0,15.15,52117.0,941.0,APAC,100.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.96,1.6,53148.0,80.0,40.0,90.0,12.0,75.0,82.0,7.0,9.0,7.0,12.2,55738.0,1079.0,ROW,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.47,0.29,176.0,100.0,87.0,30.0,4.0,70.0,100.0,1.0,2.0,2.0,2.61,71749.0,572.0,APAC,80.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.99,1.46,66060.0,80.0,42.0,95.0,12.0,74.0,76.0,8.0,8.0,8.0,11.73,60393.0,1187.0,EMEA,94.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.77,0.52,115.0,100.0,78.0,50.0,5.0,63.0,91.0,5.0,5.0,5.0,2.8,97679.0,977.0,ROW,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.84,0.53,148.0,95.0,81.0,46.0,5.0,57.0,89.0,5.0,5.0,5.0,2.91,104546.0,659.0,APAC,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.74,0.54,218.0,100.0,78.0,50.0,6.0,61.0,88.0,4.0,4.0,5.0,2.95,100824.0,950.0,LATAM,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,0.53,287.0,96.0,81.0,49.0,6.0,65.0,89.0,6.0,4.0,4.0,3.62,101365.0,795.0,EU,81.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.31,0.28,44.0,95.0,84.0,27.0,3.0,69.0,100.0,2.0,2.0,4.0,1.63,75514.0,693.0,LATAM,86.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
3.58,2.92,180125.0,81.0,70.0,93.0,8.0,89.0,71.0,9.0,9.0,10.0,25.34,19288.0,5034.0,APAC,92.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
2.04,1.57,17015.0,69.0,31.0,10.0,26.0,31.0,63.0,8.0,7.0,8.0,0.21,28810.0,200.0,EMEA,72.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.1,1.57,40031.0,80.0,51.0,100.0,10.0,82.0,83.0,9.0,7.0,8.0,14.59,44696.0,1041.0,EMEA,98.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.77,0.55,283.0,100.0,75.0,50.0,5.0,64.0,92.0,6.0,3.0,5.0,3.23,102764.0,808.0,ROW,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.99,1.54,50911.0,84.0,42.0,89.0,11.0,75.0,82.0,8.0,9.0,6.0,11.34,60692.0,1224.0,ROW,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.86,0.48,168.0,97.0,84.0,54.0,5.0,63.0,96.0,6.0,5.0,5.0,2.69,102623.0,782.0,EMEA,78.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.9,1.55,21746.0,82.0,39.0,83.0,12.0,76.0,77.0,9.0,8.0,7.0,12.73,59483.0,1150.0,EMEA,82.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.94,1.62,52824.0,73.0,32.0,13.0,25.0,35.0,56.0,9.0,9.0,6.0,2.02,27583.0,373.0,AMERICAS,69.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
2.0,1.42,61190.0,68.0,28.0,9.0,26.0,32.0,62.0,7.0,9.0,8.0,1.47,27876.0,267.0,APAC,74.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.92,1.36,70772.0,73.0,32.0,8.0,25.0,24.0,61.0,7.0,8.0,6.0,1.91,31964.0,256.0,EMEA,63.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.98,1.47,46640.0,92.0,42.0,94.0,13.0,79.0,75.0,9.0,8.0,7.0,11.69,54650.0,1189.0,ROW,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.75,0.51,169.0,100.0,77.0,46.0,4.0,57.0,87.0,6.0,3.0,3.0,2.82,96624.0,825.0,EU,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.99,1.59,21938.0,82.0,37.0,7.0,24.0,34.0,62.0,9.0,9.0,8.0,0.92,29678.0,156.0,EMEA,69.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.39,0.3,171.0,99.0,87.0,36.0,2.0,65.0,91.0,2.0,2.0,3.0,1.23,76655.0,523.0,AMERICAS,78.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.02,1.53,84051.0,84.0,44.0,94.0,11.0,74.0,83.0,9.0,8.0,8.0,11.93,59507.0,1227.0,APAC,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.94,1.43,78380.0,88.0,39.0,87.0,11.0,78.0,80.0,9.0,9.0,8.0,12.68,56260.0,1242.0,EMEA,87.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.9,0.52,250.0,98.0,79.0,48.0,5.0,62.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,ROW,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.05,1.63,22417.0,92.0,38.0,89.0,12.0,79.0,81.0,7.0,9.0,7.0,11.61,59486.0,1210.0,EU,98.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.09,1.47,86303.0,86.0,40.0,86.0,11.0,82.0,79.0,9.0,9.0,8.0,12.38,56647.0,1236.0,EU,85.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
2.09,1.45,38391.0,71.0,38.0,13.0,25.0,34.0,59.0,8.0,7.0,7.0,1.91,31467.0,196.0,LATAM,63.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.86,0.54,201.0,100.0,81.0,44.0,6.0,58.0,89.0,5.0,5.0,3.0,2.6,99953.0,717.0,EU,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.97,1.35,79705.0,63.0,32.0,10.0,25.0,32.0,62.0,7.0,9.0,8.0,2.23,28967.0,217.0,LATAM,63.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.95,1.35,65252.0,68.0,29.0,9.0,25.0,36.0,59.0,7.0,7.0,7.0,0.84,29535.0,227.0,AMERICAS,68.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.93,0.52,312.0,100.0,81.0,48.0,5.0,64.0,83.0,5.0,4.0,5.0,3.18,97331.0,889.0,EU,80.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.23,1.5,32911.0,88.0,52.0,97.0,9.0,82.0,90.0,8.0,7.0,7.0,14.55,46054.0,1003.0,LATAM,100.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.9,1.45,45188.0,69.0,35.0,3.0,26.0,26.0,54.0,9.0,8.0,7.0,0.84,29486.0,185.0,EU,66.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.42,0.31,66.0,95.0,92.0,31.0,2.0,61.0,96.0,3.0,3.0,2.0,2.26,73579.0,650.0,LATAM,80.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.57,0.28,133.0,100.0,88.0,28.0,3.0,67.0,98.0,2.0,3.0,4.0,1.76,75226.0,663.0,EU,82.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.96,1.49,89433.0,95.0,43.0,90.0,12.0,77.0,77.0,8.0,9.0,8.0,12.25,59603.0,1126.0,LATAM,91.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.47,0.32,139.0,97.0,88.0,29.0,3.0,63.0,89.0,1.0,3.0,4.0,2.55,76866.0,517.0,LATAM,84.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.87,1.6,51800.0,82.0,38.0,93.0,11.0,76.0,78.0,7.0,9.0,7.0,12.22,58486.0,1211.0,EMEA,86.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.14,1.51,81714.0,100.0,48.0,96.0,10.0,82.0,90.0,7.0,9.0,7.0,14.87,46774.0,1086.0,APAC,91.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.68,0.52,90.0,100.0,74.0,49.0,5.0,60.0,88.0,5.0,3.0,3.0,3.63,103469.0,862.0,AMERICAS,80.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.77,0.47,197.0,99.0,78.0,50.0,5.0,59.0,83.0,4.0,3.0,4.0,3.87,96646.0,743.0,AMERICAS,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.78,0.54,291.0,97.0,82.0,53.0,5.0,60.0,93.0,5.0,3.0,3.0,2.81,97201.0,880.0,AMERICAS,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.55,0.31,119.0,99.0,94.0,30.0,4.0,64.0,92.0,3.0,3.0,3.0,2.49,76341.0,614.0,APAC,78.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.2,1.54,19133.0,84.0,50.0,93.0,10.0,81.0,84.0,8.0,7.0,7.0,15.74,52785.0,1083.0,ROW,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.52,0.28,170.0,100.0,88.0,29.0,3.0,58.0,93.0,3.0,2.0,3.0,1.5,67350.0,601.0,AMERICAS,74.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.46,0.31,122.0,100.0,91.0,33.0,2.0,68.0,91.0,3.0,2.0,2.0,2.02,77375.0,549.0,EMEA,85.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
3.58,3.0,161962.0,94.0,68.0,96.0,8.0,85.0,73.0,8.0,9.0,8.0,25.66,21183.0,5063.0,LATAM,91.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
