Material ID,Packaging Type,Material Type,Suitable Product Categories,Recommended Packaging Use Cases,Supplier Region,Recyclability (%),Recyclability Category,Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%)
MAT_0015,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,AMERICAS,87,Medium,41,82,73043,13,1.03,1.58,77,81,8,9,6,12.56,57353,1271,91
MAT_0016,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,93,High,84,47,355,5,0.77,0.49,61,90,5,5,3,3.05,102073,901,91
MAT_0017,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,ROW,71,Medium,30,9,72362,25,1.98,1.39,28,58,8,7,8,1.07,30307,277,73
MAT_0018,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,62,Medium,27,12,38310,26,1.91,1.46,32,66,7,9,8,1.49,27635,268,76
MAT_0019,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,86,Medium,41,94,58200,12,0.95,1.47,70,78,8,9,6,12.14,59878,1046,87
MAT_0020,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,92,High,78,53,218,6,0.79,0.53,56,88,5,4,5,3.44,98966,991,83
MAT_0021,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EU,100,High,94,34,62,3,0.47,0.33,69,100,3,1,4,1.76,71711,667,76
MAT_0022,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,94,Medium,56,90,36417,10,1.15,1.36,77,85,8,9,7,14.36,45723,1029,93
MAT_0023,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,90,High,75,44,211,5,0.76,0.47,62,89,4,5,3,3.77,98647,753,93
MAT_0024,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,88,Medium,34,89,15440,13,1.07,1.35,74,84,8,7,7,12.18,63839,1020,91
MAT_0025,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,63,Medium,24,16,53377,24,1.98,1.61,31,59,7,9,8,1.07,31171,145,63
MAT_0026,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,100,High,89,31,81,3,0.57,0.3,66,99,3,2,3,2.74,75019,595,86
MAT_0027,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,100,High,79,50,96,4,0.8,0.49,55,83,6,4,3,3.14,98658,722,85
MAT_0028,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,92,Medium,48,99,42997,10,1.22,1.52,80,82,9,7,7,14.94,48860,978,86
MAT_0029,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,91,Medium,47,97,33532,10,1.04,1.55,79,91,8,7,7,14.4,51174,959,97
MAT_0030,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EMEA,100,High,69,96,63481,8,3.49,2.71,85,73,9,9,10,25.65,24816,5014,88
MAT_0031,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,98,High,70,100,134415,9,3.43,2.98,84,72,8,9,9,25.95,19847,4946,92
MAT_0032,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,90,Medium,41,88,40345,13,0.86,1.38,75,79,7,9,7,11.82,61482,1158,98
MAT_0033,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,94,High,78,45,265,5,0.79,0.49,64,95,6,3,3,2.66,100071,782,90
MAT_0034,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,99,High,80,51,192,6,0.77,0.52,61,87,5,3,5,2.83,96726,713,92
MAT_0035,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,70,Medium,21,10,49088,24,1.98,1.37,27,62,8,9,8,1.27,29882,224,66
MAT_0036,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,ROW,66,Medium,33,13,93365,25,1.95,1.64,32,54,8,8,8,2.18,28979,309,72
MAT_0037,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,55,Medium,26,12,89889,25,1.91,1.45,32,61,9,9,7,1.21,29800,153,70
MAT_0038,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,97,High,73,98,72041,8,3.51,2.92,89,72,9,9,9,24.34,23233,4984,86
MAT_0039,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,100,High,76,51,256,5,0.92,0.55,59,96,4,5,5,3.31,102546,957,83
MAT_0040,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,80,50,352,5,0.77,0.49,65,91,4,5,3,2.59,97310,846,86
MAT_0041,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,86,Medium,49,95,13499,10,1.07,1.39,81,88,7,7,7,14.96,50168,1012,97
MAT_0042,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,93,High,68,100,65795,9,3.48,2.85,88,79,9,10,10,24.67,20183,4942,80
MAT_0043,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EU,100,High,91,33,157,2,0.62,0.31,63,91,1,3,2,1.75,71864,550,75
MAT_0044,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,89,High,70,97,169695,8,3.65,2.97,83,71,9,9,10,24.23,19011,5005,85
MAT_0045,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,84,32,104,2,0.49,0.31,69,95,2,1,3,1.83,78051,715,84
MAT_0046,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,84,Medium,50,95,16331,10,1.24,1.5,78,90,7,8,8,14.57,51901,1113,95
MAT_0047,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,80,Medium,42,91,98971,12,0.89,1.41,77,91,8,8,8,11.76,60578,1249,93
MAT_0048,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,100,High,76,52,90,5,0.86,0.49,58,85,4,4,4,3.23,96300,867,89
MAT_0049,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,88,Medium,51,94,64030,10,1.19,1.44,75,82,9,9,7,14.48,51009,930,96
MAT_0050,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,93,High,77,49,298,5,0.94,0.49,51,88,5,5,3,2.68,99951,850,93
MAT_0051,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,78,Medium,24,10,64044,25,2.14,1.44,32,60,9,9,8,1.18,27055,315,72
MAT_0052,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,81,Medium,36,89,69350,13,1.01,1.56,79,83,9,9,7,11.28,62593,1284,90
MAT_0053,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,79,Medium,41,89,70484,12,0.92,1.47,72,87,9,8,8,11.84,60648,1209,96
MAT_0054,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,87,Medium,49,94,89963,10,1.19,1.61,80,91,9,7,6,15.15,52117,941,100
MAT_0055,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,80,Medium,40,90,53148,12,0.96,1.6,75,82,7,9,7,12.2,55738,1079,88
MAT_0056,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,100,High,87,30,176,4,0.47,0.29,70,100,1,2,2,2.61,71749,572,80
MAT_0057,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,80,Medium,42,95,66060,12,0.99,1.46,74,76,8,8,8,11.73,60393,1187,94
MAT_0058,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,100,High,78,50,115,5,0.77,0.52,63,91,5,5,5,2.8,97679,977,83
MAT_0059,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,95,High,81,46,148,5,0.84,0.53,57,89,5,5,5,2.91,104546,659,85
MAT_0060,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,100,High,78,50,218,6,0.74,0.54,61,88,4,4,5,2.95,100824,950,90
MAT_0061,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,96,High,81,49,287,6,0.92,0.53,65,89,6,4,4,3.62,101365,795,81
MAT_0062,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,95,High,84,27,44,3,0.31,0.28,69,100,2,2,4,1.63,75514,693,86
MAT_0063,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,81,High,70,93,180125,8,3.58,2.92,89,71,9,9,10,25.34,19288,5034,92
MAT_0064,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,69,Medium,31,10,17015,26,2.04,1.57,31,63,8,7,8,0.21,28810,200,72
MAT_0065,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,80,Medium,51,100,40031,10,1.1,1.57,82,83,9,7,8,14.59,44696,1041,98
MAT_0066,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,100,High,75,50,283,5,0.77,0.55,64,92,6,3,5,3.23,102764,808,83
MAT_0067,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,84,Medium,42,89,50911,11,0.99,1.54,75,82,8,9,6,11.34,60692,1224,90
MAT_0068,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,97,High,84,54,168,5,0.86,0.48,63,96,6,5,5,2.69,102623,782,78
MAT_0069,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,82,Medium,39,83,21746,12,0.9,1.55,76,77,9,8,7,12.73,59483,1150,82
MAT_0070,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,73,Medium,32,13,52824,25,1.94,1.62,35,56,9,9,6,2.02,27583,373,69
MAT_0071,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,68,Medium,28,9,61190,26,2,1.42,32,62,7,9,8,1.47,27876,267,74
MAT_0072,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,73,Medium,32,8,70772,25,1.92,1.36,24,61,7,8,6,1.91,31964,256,63
MAT_0073,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,92,Medium,42,94,46640,13,0.98,1.47,79,75,9,8,7,11.69,54650,1189,88
MAT_0074,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,77,46,169,4,0.75,0.51,57,87,6,3,3,2.82,96624,825,90
MAT_0075,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,82,Medium,37,7,21938,24,1.99,1.59,34,62,9,9,8,0.92,29678,156,69
MAT_0076,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,99,High,87,36,171,2,0.39,0.3,65,91,2,2,3,1.23,76655,523,78
MAT_0077,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,84,Medium,44,94,84051,11,1.02,1.53,74,83,9,8,8,11.93,59507,1227,89
MAT_0078,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,88,Medium,39,87,78380,11,0.94,1.43,78,80,9,9,8,12.68,56260,1242,87
MAT_0079,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,98,High,79,48,250,5,0.9,0.52,62,90,4,4,5,3.39,100328,741,87
MAT_0080,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,92,Medium,38,89,22417,12,1.05,1.63,79,81,7,9,7,11.61,59486,1210,98
MAT_0081,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,86,Medium,40,86,86303,11,1.09,1.47,82,79,9,9,8,12.38,56647,1236,85
MAT_0082,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,71,Medium,38,13,38391,25,2.09,1.45,34,59,8,7,7,1.91,31467,196,63
MAT_0083,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,81,44,201,6,0.86,0.54,58,89,5,5,3,2.6,99953,717,85
MAT_0084,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,63,Medium,32,10,79705,25,1.97,1.35,32,62,7,9,8,2.23,28967,217,63
MAT_0085,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,68,Medium,29,9,65252,25,1.95,1.35,36,59,7,7,7,0.84,29535,227,68
MAT_0086,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,81,48,312,5,0.93,0.52,64,83,5,4,5,3.18,97331,889,80
MAT_0087,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,88,Medium,52,97,32911,9,1.23,1.5,82,90,8,7,7,14.55,46054,1003,100
MAT_0088,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EU,69,Medium,35,3,45188,26,1.9,1.45,26,54,9,8,7,0.84,29486,185,66
MAT_0089,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,95,High,92,31,66,2,0.42,0.31,61,96,3,3,2,2.26,73579,650,80
MAT_0090,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EU,100,High,88,28,133,3,0.57,0.28,67,98,2,3,4,1.76,75226,663,82
MAT_0091,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,95,Medium,43,90,89433,12,0.96,1.49,77,77,8,9,8,12.25,59603,1126,91
MAT_0092,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,97,High,88,29,139,3,0.47,0.32,63,89,1,3,4,2.55,76866,517,84
MAT_0093,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,82,Medium,38,93,51800,11,0.87,1.6,76,78,7,9,7,12.22,58486,1211,86
MAT_0094,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,100,Medium,48,96,81714,10,1.14,1.51,82,90,7,9,7,14.87,46774,1086,91
MAT_0095,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,100,High,74,49,90,5,0.68,0.52,60,88,5,3,3,3.63,103469,862,80
MAT_0096,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,99,High,78,50,197,5,0.77,0.47,59,83,4,3,4,3.87,96646,743,87
MAT_0097,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,97,High,82,53,291,5,0.78,0.54,60,93,5,3,3,2.81,97201,880,85
MAT_0098,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,99,High,94,30,119,4,0.55,0.31,64,92,3,3,3,2.49,76341,614,78
MAT_0099,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,84,Medium,50,93,19133,10,1.2,1.54,81,84,8,7,7,15.74,52785,1083,93
MAT_0100,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,100,High,88,29,170,3,0.52,0.28,58,93,3,2,3,1.5,67350,601,74
MAT_0101,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,91,33,122,2,0.46,0.31,68,91,3,2,2,2.02,77375,549,85
MAT_0102,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",LATAM,94,High,68,96,161962,8,3.58,3,85,73,8,9,8,25.66,21183,5063,91
MAT_0103,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,99,High,80,52,242,5,0.79,0.51,60,90,4,4,5,3.14,103063,782,88
MAT_0104,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,77,46,187,4,0.85,0.52,65,88,6,3,5,2.7,99808,719,83
MAT_0105,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,85,Medium,41,86,52150,13,0.92,1.44,79,78,7,9,8,12.72,59942,1268,90
MAT_0106,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,61,Medium,22,12,71775,25,1.96,1.4,32,60,7,8,6,1.46,30357,178,67
MAT_0107,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,86,Medium,50,96,25270,11,1.17,1.6,76,82,7,8,7,14.28,48512,1065,95
MAT_0108,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,92,Medium,43,89,61952,12,1.07,1.42,75,80,8,9,7,12.18,61002,1202,89
MAT_0109,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,94,Medium,44,87,35850,13,1.08,1.49,74,80,8,7,7,11.55,59371,1147,89
MAT_0110,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,92,Medium,48,97,42939,11,1.13,1.52,80,90,7,7,6,14.61,48925,1033,98
MAT_0111,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,100,High,77,50,152,5,0.76,0.51,60,88,5,3,3,2.69,101662,790,83
MAT_0112,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EMEA,95,High,73,99,75493,7,3.61,3.15,83,72,8,10,9,24.63,22295,4967,89
MAT_0113,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,90,Medium,47,93,66898,10,1.21,1.38,81,87,9,7,6,15.71,51480,985,89
MAT_0114,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,92,33,137,3,0.56,0.29,66,95,2,2,4,1.96,75069,637,79
