material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level
31.0,Recycled Cardboard - Lightweight,12.0,10.0,5.0,0.8,95.0,38.0,Light Packaging,Estimate,Medium
32.0,Virgin Cardboard - Food Grade,16.0,15.0,5.0,1.15,90.0,47.0,Food Packaging,Estimate,Medium
33.0,Recycled Cardboard - Food Grade,16.0,15.0,5.0,0.84,95.0,41.0,Food Packaging,Estimate,Medium
34.0,Virgin Paper - Coated,6.0,6.0,5.0,0.95,80.0,37.0,Labels & Inserts,Estimate,Medium
35.0,Virgin Paper - Uncoated,5.0,5.0,5.0,0.9,85.0,34.0,Light Packaging,Literature,High
36.0,Recycled Paper - Coated,6.0,6.0,5.0,0.65,88.0,32.0,Labels & Inserts,Estimate,Medium
37.0,Recycled Paper - High Recycle,5.0,5.0,5.0,0.6,92.0,29.0,Light Packaging,Literature,High
38.0,Virgin Paper - Kraft,7.0,7.0,5.0,0.93,85.0,36.0,Mailers,Literature,High
39.0,Recycled Paper - Kraft,7.0,7.0,5.0,0.64,90.0,31.0,Mailers,Literature,High
40.0,PLA Bioplastic - Rigid,52.0,11.0,80.0,0.52,70.0,122.0,Food Packaging,Literature,High
41.0,PLA Bioplastic - Flexible,48.0,9.0,80.0,0.48,70.0,118.0,Food/Cosmetic,Literature,High
42.0,PLA Bioplastic - Transparent,50.0,10.0,80.0,0.51,70.0,121.0,Food/Cosmetic,Estimate,Medium
43.0,PLA Bioplastic - Industrial Grade,55.0,12.0,75.0,0.6,65.0,130.0,Electronics Packaging,Estimate,Medium
44.0,PLA Bioplastic - Home Compost Grade,45.0,9.0,85.0,0.48,70.0,119.0,Food Packaging,Literature,High
45.0,Compostable Plastic - Starch Blend,38.0,7.0,88.0,0.58,68.0,108.0,Food Packaging,Literature,High
46.0,Compostable Plastic - High Barrier,42.0,8.0,82.0,0.62,70.0,112.0,Food Packaging,Estimate,Medium
47.0,Compostable Plastic - Film,35.0,6.0,90.0,0.55,70.0,106.0,Snack Packaging,Estimate,Medium
48.0,Compostable Plastic - Rigid Tray,40.0,8.0,85.0,0.6,70.0,111.0,Ready Meals,Estimate,Medium
49.0,Compostable Plastic - Cold Use,37.0,7.0,88.0,0.57,70.0,109.0,Salad Packaging,Estimate,Medium
50.0,Conventional Plastic PET - Bottle Grade,62.0,18.0,1.0,3.1,50.0,82.0,Beverage Bottles,Literature,High
51.0,Conventional Plastic PET - Sheet,58.0,15.0,1.0,2.9,50.0,78.0,Blister Packs,Literature,High
52.0,Conventional Plastic PET - Film,55.0,14.0,1.0,2.8,50.0,76.0,Flex Packaging,Estimate,Medium
53.0,Conventional Plastic PET - High Clarity,60.0,16.0,1.0,3.0,50.0,81.0,Display Packaging,Literature,High
54.0,Conventional Plastic PET - Reheat Grade,63.0,18.0,1.0,3.2,50.0,83.0,Bottle Preforms,Estimate,Medium
55.0,Conventional Plastic HDPE - Blow Molding,68.0,20.0,1.0,3.2,55.0,88.0,Bottles & Jerrycans,Literature,High
56.0,Conventional Plastic HDPE - Injection Grade,62.0,17.0,1.0,3.0,55.0,84.0,Caps & Closures,Literature,High
57.0,Conventional Plastic HDPE - Film,58.0,16.0,1.0,2.9,55.0,82.0,Bags & Liners,Estimate,Medium
58.0,Conventional Plastic HDPE - High Rigidity,70.0,21.0,1.0,3.3,55.0,89.0,Industrial Pails,Estimate,Medium
59.0,Conventional Plastic HDPE - Food Grade,65.0,18.0,1.0,3.1,55.0,86.0,Food Containers,Literature,High
60.0,Recycled PET - Clear,60.0,15.0,1.0,1.9,75.0,92.0,Bottles,Estimate,Medium
61.0,Recycled PET - Colored,58.0,14.0,1.0,1.7,70.0,88.0,Straps & Fibers,Estimate,Medium
62.0,Recycled PET - Sheet Grade,59.0,15.0,1.0,1.8,75.0,90.0,Blister Packs,Literature,High
63.0,Recycled PET - Film Grade,57.0,14.0,1.0,1.75,70.0,89.0,Flex Packaging,Estimate,Medium
64.0,Recycled PET - High Recycled Content,60.0,15.0,1.0,1.6,80.0,93.0,Bottles & Trays,Estimate,Medium
65.0,Sugarcane Bagasse - Plate Grade,12.0,7.0,90.0,0.42,80.0,52.0,Food Service Ware,Literature,High
66.0,Sugarcane Bagasse - Bowl Grade,11.0,6.0,92.0,0.39,80.0,49.0,Food Service Ware,Literature,High
67.0,Sugarcane Bagasse - Clamshell,13.0,8.0,88.0,0.43,78.0,53.0,Takeaway Packaging,Estimate,Medium
68.0,Sugarcane Bagasse - Thick Tray,14.0,9.0,85.0,0.45,78.0,55.0,Ready Meals,Estimate,Medium
69.0,Sugarcane Bagasse - Thin Tray,10.0,5.0,92.0,0.38,82.0,48.0,Snacks & Bakery,Estimate,Medium
70.0,Wood Pulp Molded Fiber - Corner Protector,11.0,8.0,85.0,0.52,75.0,57.0,Electronics Packaging,Literature,High
71.0,Wood Pulp Molded Fiber - Insert,9.0,5.0,88.0,0.48,75.0,54.0,Electronics Packaging,Literature,High
72.0,Wood Pulp Molded Fiber - Tray,10.0,6.0,86.0,0.5,75.0,56.0,Furniture & Appliances,Estimate,Medium
73.0,Wood Pulp Molded Fiber - Thicker Grade,12.0,8.0,82.0,0.55,70.0,59.0,Heavy Goods,Estimate,Medium
74.0,Wood Pulp Molded Fiber - Thin Grade,8.0,4.0,90.0,0.47,78.0,52.0,Consumer Electronics,Estimate,Medium
75.0,Corrugated Paperboard - Single Wall,16.0,20.0,5.0,1.2,92.0,48.0,Shipping Boxes,Literature,High
76.0,Corrugated Paperboard - Double Wall,18.0,25.0,5.0,1.25,92.0,50.0,Heavy Duty Boxes,Literature,High
77.0,Corrugated Paperboard - Triple Wall,20.0,30.0,5.0,1.3,92.0,55.0,Bulky Appliances,Estimate,Medium
78.0,Corrugated Paperboard - Lightweight,14.0,15.0,5.0,1.1,92.0,45.0,E-commerce Boxes,Estimate,Medium
79.0,Corrugated Paperboard - Recycled Core,16.0,20.0,5.0,1.0,94.0,46.0,General Packaging,Estimate,Medium
80.0,Cotton Fabric Wrap - Single Layer,18.0,7.0,90.0,0.58,70.0,95.0,Gift Packaging,Estimate,Medium
81.0,Cotton Fabric Wrap - Double Layer,22.0,9.0,88.0,0.62,70.0,105.0,Reusable Wraps,Estimate,Medium
82.0,Cotton Fabric Wrap - Printed,20.0,8.0,90.0,0.6,68.0,102.0,Brand Packaging,Estimate,Medium
83.0,Cotton Fabric Wrap - Organic,19.0,8.0,92.0,0.55,72.0,110.0,Premium Packaging,Estimate,Medium
84.0,Cotton Fabric Wrap - Heavy Weave,24.0,10.0,85.0,0.65,70.0,115.0,Carry Bags,Estimate,Medium
85.0,Jute Bag - Light,22.0,10.0,95.0,0.48,85.0,85.0,Grocery Bags,Literature,High
86.0,Jute Bag - Medium,25.0,12.0,95.0,0.5,85.0,90.0,Carry Bags,Literature,High
87.0,Jute Bag - Heavy,28.0,15.0,93.0,0.52,85.0,95.0,Multi-use Bags,Estimate,Medium
88.0,Jute Bag - Laminated,27.0,14.0,80.0,0.7,75.0,98.0,Industrial Bags,Estimate,Medium
89.0,Jute Bag - Organic,26.0,13.0,96.0,0.49,88.0,100.0,Premium Retail,Estimate,Medium
90.0,PLA Sheet - Thin,48.0,10.0,80.0,0.54,70.0,120.0,Bakery Lids,Estimate,Medium
91.0,PLA Sheet - Medium,50.0,12.0,80.0,0.55,70.0,125.0,Food Trays,Literature,High
92.0,PLA Sheet - Thick,52.0,14.0,78.0,0.6,68.0,130.0,Clamshells,Estimate,Medium
93.0,PLA Sheet - Anti-fog,49.0,11.0,80.0,0.56,70.0,128.0,Fresh Produce,Estimate,Medium
94.0,PLA Sheet - High Transparency,51.0,12.0,80.0,0.55,70.0,127.0,Display Packs,Estimate,Medium
95.0,Polylactic Acid Blend - Flexible,42.0,9.0,82.0,0.49,70.0,116.0,Sachets,Estimate,Medium
96.0,Polylactic Acid Blend - Rigid,47.0,11.0,78.0,0.52,70.0,120.0,Tubs & Cups,Estimate,Medium
97.0,Polylactic Acid Blend - High Impact,50.0,12.0,75.0,0.58,68.0,124.0,Electronics Blisters,Estimate,Medium
98.0,Polylactic Acid Blend - Transparent,45.0,10.0,80.0,0.5,70.0,118.0,Display Cartons,Literature,High
99.0,Polylactic Acid Blend - Home Compost,40.0,8.0,85.0,0.48,72.0,115.0,Food/Cosmetic,Estimate,Medium
100.0,Biodegradable Film - Starch Based,28.0,7.0,88.0,0.58,65.0,102.0,Snack Wraps,Literature,High
101.0,Biodegradable Film - Cellulose Based,32.0,8.0,82.0,0.62,70.0,108.0,Overwrap,Estimate,Medium
102.0,Biodegradable Film - Barrier,30.0,8.0,85.0,0.6,65.0,105.0,Snack Packaging,Literature,High
103.0,Biodegradable Film - Compost Home,26.0,6.0,90.0,0.55,68.0,100.0,Food Wrap,Estimate,Medium
104.0,Biodegradable Film - Industrial,34.0,9.0,80.0,0.65,60.0,110.0,Frozen Foods,Estimate,Medium
105.0,Aluminum Foil - Thin Household,60.0,12.0,1.0,7.5,90.0,130.0,Food Wrap,Literature,High
106.0,Aluminum Foil - Thick Catering,75.0,22.0,1.0,8.2,90.0,155.0,Food Trays,Literature,High
107.0,Aluminum Foil - Laminated,70.0,20.0,1.0,8.5,85.0,160.0,Snack Wrap,Estimate,Medium
108.0,Aluminum Foil - Pharma Grade,72.0,18.0,1.0,8.3,92.0,165.0,Blister Packs,Estimate,Medium
109.0,Aluminum Foil - Industrial,80.0,25.0,1.0,8.8,90.0,170.0,Insulation,Estimate,Medium
110.0,Glass Bottle - Lightweight,85.0,18.0,0.0,2.3,95.0,115.0,Beverage,Estimate,Medium
111.0,Glass Bottle - Returnable,95.0,28.0,0.0,2.7,98.0,125.0,Beverage Refill,Literature,High
112.0,Glass Bottle - Amber,90.0,25.0,0.0,2.6,95.0,122.0,Beverages & Pharma,Literature,High
113.0,Glass Bottle - Fluted,92.0,26.0,0.0,2.5,95.0,124.0,Premium Drinks,Estimate,Medium
114.0,Glass Bottle - Thick Wall,100.0,30.0,0.0,2.8,95.0,130.0,Spirits,Estimate,Medium
115.0,Steel Can - Thin Wall,75.0,18.0,0.0,5.8,90.0,95.0,Foods,Literature,High
116.0,Steel Can - Heavy Wall,85.0,24.0,0.0,6.2,90.0,105.0,Bulk Foods,Literature,High
117.0,Steel Can - Aerosol,80.0,20.0,0.0,6.1,88.0,102.0,Personal Care,Estimate,Medium
118.0,Steel Can - Easy Open,78.0,19.0,0.0,6.0,90.0,100.0,Ready Foods,Estimate,Medium
119.0,Steel Can - BPA Free Lined,80.0,22.0,0.0,6.2,90.0,108.0,Premium Foods,Estimate,Medium
120.0,Mixed Plastic (HDPE+PET) - Rigid,62.0,16.0,1.0,3.6,60.0,92.0,Trays & Lids,Estimate,Medium
121.0,Mixed Plastic (HDPE+PET) - Film,58.0,14.0,1.0,3.4,60.0,88.0,Multipack Wrap,Estimate,Medium
122.0,Mixed Plastic (HDPE+PET) - Laminate,60.0,15.0,1.0,3.5,55.0,90.0,Snack Packs,Estimate,Medium
123.0,Mixed Plastic (HDPE+PET) - Foam,55.0,12.0,1.0,3.3,50.0,86.0,Cushioning,Estimate,Medium
124.0,Mixed Plastic (HDPE+PET) - Shrink,57.0,13.0,1.0,3.4,60.0,89.0,Bottle Bundling,Estimate,Medium
125.0,Recycled Mixed Plastic - Rigid,60.0,15.0,1.0,2.0,70.0,87.0,Pallets,Estimate,Medium
126.0,Recycled Mixed Plastic - Film,55.0,13.0,1.0,1.9,72.0,82.0,Garbage Bags,Estimate,Medium
127.0,Recycled Mixed Plastic - Sheet,58.0,14.0,1.0,2.1,68.0,84.0,Construction Boards,Estimate,Medium
128.0,Recycled Mixed Plastic - Lumber,62.0,16.0,1.0,2.2,65.0,88.0,Outdoor Furniture,Estimate,Medium
129.0,Recycled Mixed Plastic - Foam,50.0,11.0,1.0,1.8,70.0,80.0,Cushioning,Estimate,Medium
130.0,PLA Compostable Pack - Thin,48.0,9.0,88.0,0.54,70.0,112.0,Snack Trays,Estimate,Medium
131.0,PLA Compostable Pack - Thick,52.0,11.0,82.0,0.57,68.0,118.0,Meal Trays,Estimate,Medium
132.0,PLA Compostable Pack - Clear,50.0,10.0,85.0,0.55,70.0,115.0,Fresh Produce,Literature,High
133.0,PLA Compostable Pack - Matte,49.0,10.0,85.0,0.56,70.0,114.0,Premium Packs,Estimate,Medium
134.0,PLA Compostable Pack - Rigid,53.0,11.0,80.0,0.58,68.0,120.0,Food/Cosmetics,Estimate,Medium
135.0,Paper Pulp Tray - Shallow,13.0,9.0,80.0,0.88,88.0,49.0,Fruit & Veg,Estimate,Medium
136.0,Paper Pulp Tray - Deep,15.0,11.0,78.0,0.92,86.0,52.0,Ready Meals,Estimate,Medium
137.0,Paper Pulp Tray - Coated,14.0,10.0,75.0,0.95,85.0,55.0,Wet Foods,Estimate,Medium
138.0,Paper Pulp Tray - Uncoated,14.0,10.0,82.0,0.9,88.0,50.0,Dry Foods,Estimate,Medium
139.0,Paper Pulp Tray - Heavy Duty,16.0,12.0,75.0,1.0,85.0,58.0,Meat & Fish,Estimate,Medium
140.0,Cardboard Sleeve - Light,15.0,10.0,5.0,1.05,92.0,40.0,Food Sleeves,Estimate,Medium
141.0,Cardboard Sleeve - Heavy,17.0,14.0,5.0,1.15,92.0,44.0,Electronics Sleeves,Estimate,Medium
142.0,Cardboard Sleeve - Printed,16.0,12.0,5.0,1.12,90.0,45.0,Brand Packaging,Estimate,Medium
143.0,Cardboard Sleeve - Recycled,16.0,12.0,5.0,0.9,95.0,41.0,General Sleeves,Estimate,Medium
144.0,Cardboard Sleeve - Kraft,16.0,12.0,5.0,1.08,92.0,43.0,Eco Sleeves,Estimate,Medium
145.0,PLA Clamshell - Salad,46.0,8.0,80.0,0.5,70.0,118.0,Fresh Salads,Literature,High
146.0,PLA Clamshell - Bakery,48.0,9.0,80.0,0.52,70.0,120.0,Bakery Items,Literature,High
147.0,PLA Clamshell - Fruit,49.0,9.0,80.0,0.53,70.0,121.0,Berries & Fruit,Estimate,Medium
148.0,PLA Clamshell - Dessert,47.0,8.0,82.0,0.51,70.0,119.0,Desserts,Estimate,Medium
149.0,PLA Clamshell - Takeaway,50.0,10.0,78.0,0.56,68.0,123.0,Meals,Estimate,Medium
150.0,Recycled Cardboard Box - Small Parcel,15.0,12.0,5.0,0.8,95.0,39.0,E-commerce,Estimate,Medium
151.0,Recycled Cardboard Box - Medium Parcel,16.0,15.0,5.0,0.82,95.0,41.0,E-commerce,Literature,High
152.0,Recycled Cardboard Box - Large Parcel,17.0,18.0,5.0,0.85,95.0,43.0,E-commerce,Estimate,Medium
153.0,Recycled Cardboard Box - Extra Heavy,18.0,22.0,5.0,0.9,93.0,45.0,Appliances,Estimate,Medium
154.0,Recycled Cardboard Box - Archive,14.0,12.0,5.0,0.78,96.0,38.0,Document Storage,Estimate,Medium
155.0,Bamboo Fiber Pulp Tray,16.0,10.0,90.0,0.4,80.0,60.0,Food Packaging,Literature,High
156.0,Bamboo Fiber Clamshell,18.0,12.0,88.0,0.42,78.0,65.0,Takeaway Food,Estimate,Medium
157.0,Bamboo Paper Cup Board,14.0,8.0,85.0,0.45,80.0,58.0,Hot Cups,Estimate,Medium
158.0,Bamboo Molded Cushioning,15.0,9.0,88.0,0.43,78.0,62.0,Electronics Packaging,Estimate,Medium
159.0,Bamboo Fiber Plate,13.0,7.0,92.0,0.39,82.0,57.0,Disposable Tableware,Estimate,Medium
160.0,Hemp Fiber Pulp,18.0,11.0,92.0,0.38,80.0,70.0,Premium Packaging,Estimate,Medium
161.0,Hemp Paperboard,20.0,14.0,90.0,0.4,82.0,75.0,Boxes & Cartons,Estimate,Medium
162.0,Hemp Fabric Bag,25.0,12.0,95.0,0.42,85.0,90.0,Reusable Bags,Estimate,Medium
163.0,Hemp Molded Fiber Insert,17.0,10.0,90.0,0.41,80.0,72.0,Electronics Inserts,Estimate,Medium
164.0,Hemp Pulp Tray,16.0,9.0,92.0,0.39,82.0,68.0,Food Packaging,Estimate,Medium
165.0,Mushroom Mycelium Foam,8.0,5.0,98.0,0.3,60.0,80.0,Cushioning,Literature,High
166.0,Mushroom Mycelium Rigid Block,10.0,7.0,98.0,0.32,60.0,85.0,Protective Packaging,Literature,High
167.0,Mushroom Mycelium Corner,9.0,6.0,98.0,0.31,60.0,82.0,Electronics Packaging,Estimate,Medium
168.0,Mushroom Mycelium Insert,7.0,4.0,98.0,0.29,60.0,78.0,Small Appliances,Estimate,Medium
169.0,Mushroom Mycelium Board,11.0,8.0,95.0,0.35,60.0,88.0,Panels & Liners,Estimate,Medium
170.0,Seaweed Bioplastic Film,25.0,6.0,90.0,0.4,65.0,100.0,Edible Wraps,Literature,High
171.0,Seaweed Bioplastic Pouch,28.0,7.0,88.0,0.42,65.0,105.0,Dry Foods,Estimate,Medium
172.0,Seaweed Bioplastic Coating,22.0,5.0,92.0,0.38,65.0,95.0,Fiber Barriers,Estimate,Medium
173.0,Seaweed Bioplastic Laminate,30.0,8.0,85.0,0.45,60.0,110.0,Snack Packs,Estimate,Medium
174.0,Seaweed Bioplastic Rigid,32.0,9.0,80.0,0.5,60.0,115.0,Trays,Estimate,Medium
175.0,Paper Honeycomb Board,18.0,25.0,80.0,1.1,85.0,70.0,Furniture Packaging,Literature,High
176.0,Paper Honeycomb Panel,20.0,28.0,80.0,1.15,85.0,75.0,Pallet Tops,Estimate,Medium
177.0,Paper Honeycomb Cushion,16.0,20.0,82.0,1.05,88.0,65.0,Void Fill,Estimate,Medium
178.0,Paper Honeycomb Edge Protector,19.0,24.0,80.0,1.12,85.0,72.0,Edge Protection,Estimate,Medium
179.0,Paper Honeycomb Pallet,22.0,30.0,78.0,1.2,82.0,80.0,Light Pallets,Estimate,Medium
180.0,Recycled Paper Honeycomb,18.0,25.0,82.0,0.95,90.0,68.0,Furniture Packaging,Estimate,Medium
181.0,Bio-PE (Sugarcane-based),55.0,15.0,15.0,1.5,75.0,140.0,Bottles & Caps,Literature,High
182.0,Bio-PE Film,50.0,13.0,20.0,1.4,75.0,135.0,Flex Packaging,Estimate,Medium
183.0,Bio-PE Rigid,58.0,17.0,10.0,1.6,70.0,145.0,Containers,Estimate,Medium
184.0,Bio-PE Shrink,52.0,14.0,20.0,1.45,75.0,138.0,Shrink Wrap,Estimate,Medium
185.0,Bio-PE Coating,48.0,12.0,25.0,1.35,78.0,132.0,Paper Coatings,Estimate,Medium
186.0,Paper-PLA Laminate,18.0,12.0,60.0,1.0,75.0,120.0,Hot Cups,Literature,High
187.0,Paper-PE Laminate,20.0,15.0,5.0,2.5,65.0,90.0,Beverage Cartons,Literature,High
188.0,Paper-BioPE Laminate,19.0,14.0,30.0,1.8,70.0,110.0,Beverage Cartons,Estimate,Medium
189.0,Cardboard-PLA Laminate,21.0,18.0,55.0,1.2,75.0,125.0,Frozen Foods,Estimate,Medium
190.0,Cardboard-Compostable Laminate,20.0,17.0,60.0,1.05,78.0,118.0,Snack Packs,Estimate,Medium
191.0,Recycled Paper-PLA Laminate,17.0,12.0,65.0,0.9,80.0,115.0,Food Service,Estimate,Medium
192.0,Flexible Paper Wrap,8.0,4.0,80.0,0.7,85.0,40.0,Confectionery Wrap,Literature,High
193.0,Flexible Kraft Paper Wrap,10.0,5.0,82.0,0.75,88.0,42.0,Bakery Wrap,Estimate,Medium
194.0,Glassine Paper Wrap,6.0,4.0,75.0,0.8,80.0,45.0,Oily Foods,Estimate,Medium
195.0,Greaseproof Paper,7.0,4.0,78.0,0.78,80.0,46.0,Bakery Wrap,Literature,High
196.0,Waxed Paper,6.0,3.0,70.0,0.85,50.0,50.0,Cheese/Meat Wrap,Estimate,Medium
197.0,Recycled Flexible Paper Wrap,8.0,4.0,82.0,0.6,90.0,38.0,Confectionery Wrap,Estimate,Medium
198.0,Paper Mailer - Padded,14.0,8.0,75.0,0.9,85.0,50.0,E-commerce Mailers,Literature,High
199.0,Paper Mailer - Rigid,16.0,10.0,75.0,0.95,85.0,55.0,Documents,Estimate,Medium
200.0,Paper Mailer - Lightweight,12.0,6.0,80.0,0.85,90.0,45.0,Apparel,Estimate,Medium
201.0,Paper Mailer - Recycled,14.0,8.0,80.0,0.7,92.0,48.0,E-commerce,Estimate,Medium
202.0,Paper Mailer - Honeycomb,18.0,10.0,78.0,0.98,85.0,60.0,Fragile Goods,Estimate,Medium
203.0,Recycled Plastic Mailer,50.0,10.0,1.0,2.1,70.0,70.0,E-commerce,Estimate,Medium
204.0,Bio-based Plastic Mailer,45.0,9.0,40.0,1.4,65.0,95.0,E-commerce,Estimate,Medium
205.0,Compostable Mailer,35.0,7.0,85.0,0.7,60.0,105.0,E-commerce,Literature,High
206.0,Paper-Padded Compostable Mailer,20.0,9.0,80.0,0.85,70.0,90.0,E-commerce,Estimate,Medium
207.0,Cardboard Envelope,15.0,7.0,5.0,1.0,90.0,40.0,Documents,Estimate,Medium
208.0,Virgin PET Tray,60.0,15.0,1.0,3.0,50.0,80.0,Food Trays,Literature,High
209.0,Recycled PET Tray,60.0,15.0,1.0,1.8,75.0,88.0,Food Trays,Literature,High
210.0,PP Rigid Container,55.0,14.0,1.0,2.5,40.0,70.0,Food Containers,Literature,High
211.0,PP Film,45.0,10.0,1.0,2.3,40.0,68.0,Snack Packaging,Literature,High
212.0,PP Nonwoven,30.0,8.0,1.0,2.1,40.0,65.0,Shopping Bags,Estimate,Medium
213.0,Recycled PP Rigid,55.0,14.0,1.0,1.9,55.0,72.0,Containers,Estimate,Medium
214.0,Recycled PP Film,45.0,10.0,1.0,1.8,55.0,70.0,Packaging Film,Estimate,Medium
215.0,LDPE Film,30.0,8.0,1.0,2.4,30.0,65.0,Stretch Wrap,Literature,High
216.0,Recycled LDPE Film,30.0,8.0,1.0,1.7,45.0,60.0,Garbage Bags,Estimate,Medium
217.0,Bio-based LDPE Film,32.0,9.0,10.0,1.3,55.0,80.0,Stretch Wrap,Estimate,Medium
218.0,Paper Cushioning - Shredded,6.0,4.0,85.0,0.7,90.0,35.0,Void Fill,Literature,High
219.0,Paper Cushioning - Crinkle,7.0,4.0,85.0,0.75,90.0,37.0,Gift Packaging,Estimate,Medium
220.0,Paper Cushioning - Molded,9.0,5.0,80.0,0.8,88.0,40.0,Fragile Goods,Estimate,Medium
221.0,Air Cushion - Virgin Plastic,35.0,10.0,1.0,3.0,50.0,60.0,Void Fill,Literature,High
222.0,Air Cushion - Recycled Plastic,35.0,10.0,1.0,2.0,70.0,65.0,Void Fill,Estimate,Medium
223.0,Air Cushion - Bio-based Plastic,30.0,9.0,20.0,1.4,60.0,75.0,Void Fill,Estimate,Medium
224.0,Paper Air Cushion,10.0,6.0,80.0,0.8,88.0,50.0,Void Fill,Estimate,Medium
225.0,Inflatable Paper-Plastic Hybrid,25.0,9.0,60.0,1.6,70.0,70.0,Void Fill,Estimate,Medium
226.0,EPS Foam (Expanded Polystyrene),15.0,12.0,0.0,5.0,10.0,40.0,Electronics Packaging,Literature,High
227.0,Molded EPS Corner,16.0,13.0,0.0,5.2,10.0,42.0,TV Packaging,Estimate,Medium
228.0,Recycled EPS,15.0,12.0,0.0,3.5,30.0,38.0,Insulation,Estimate,Medium
229.0,EPP Foam (Expanded Polypropylene),18.0,14.0,0.0,4.0,20.0,55.0,Returnable Packaging,Estimate,Medium
230.0,Bio-based Foam,14.0,10.0,40.0,2.0,40.0,70.0,Protective Packaging,Estimate,Medium
231.0,Paper Foam,10.0,8.0,80.0,1.2,70.0,60.0,Protective Packaging,Estimate,Medium
232.0,Molded Pulp Corner - Recycled,11.0,7.0,85.0,0.5,80.0,52.0,Electronics,Literature,High
233.0,Molded Pulp Corner - Virgin,12.0,8.0,80.0,0.6,75.0,55.0,Appliances,Estimate,Medium
234.0,Coconut Fiber Pad,9.0,6.0,95.0,0.4,60.0,50.0,Produce Packaging,Estimate,Medium
235.0,Coconut Fiber Molded Pack,11.0,7.0,95.0,0.42,60.0,55.0,Fruit Trays,Estimate,Medium
236.0,Rice Husk Composite,20.0,12.0,85.0,1.5,60.0,80.0,Reusable Tableware,Estimate,Medium
237.0,Rice Husk Molded Tray,16.0,10.0,88.0,1.3,60.0,70.0,Frozen Foods,Estimate,Medium
238.0,Wheat Straw Pulp Tray,14.0,10.0,90.0,0.45,75.0,55.0,Food Trays,Estimate,Medium
