material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
MAT_0034,Cardboard,32,50,95,0.77,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0035,Plastic,50,70,0,1.98,70,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0036,Plastic,50,70,0,1.95,66,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0037,Plastic,50,70,0,1.91,55,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0038,Steel,250,500,0,3.51,97,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0039,Cardboard,32,50,95,0.92,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0040,Cardboard,32,50,95,0.77,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0041,Plastic,50,70,0,1.07,86,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0042,Steel,250,500,0,3.48,93,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0043,Paper/Bio-Based,20,30,98,0.62,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0044,Steel,250,500,0,3.65,89,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0045,Paper/Bio-Based,20,30,98,0.49,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0046,Plastic,50,70,0,1.24,84,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0047,Plastic,50,70,0,0.89,80,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0048,Cardboard,32,50,95,0.86,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0049,Plastic,50,70,0,1.19,88,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0050,Cardboard,32,50,95,0.94,93,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0051,Plastic,50,70,0,2.14,78,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0052,Plastic,50,70,0,1.01,81,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0053,Plastic,50,70,0,0.92,79,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0054,Plastic,50,70,0,1.19,87,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0055,Plastic,50,70,0,0.96,80,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0056,Paper/Bio-Based,20,30,98,0.47,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0057,Plastic,50,70,0,0.99,80,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0058,Cardboard,32,50,95,0.77,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0059,Cardboard,32,50,95,0.84,95,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0060,Cardboard,32,50,95,0.74,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0061,Cardboard,32,50,95,0.92,96,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0062,Paper/Bio-Based,20,30,98,0.31,95,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0063,Steel,250,500,0,3.58,81,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0064,Plastic,50,70,0,2.04,69,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0065,Plastic,50,70,0,1.1,80,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0066,Cardboard,32,50,95,0.77,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0067,Plastic,50,70,0,0.99,84,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0068,Cardboard,32,50,95,0.86,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0069,Plastic,50,70,0,0.9,82,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0070,Plastic,50,70,0,1.94,73,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0071,Plastic,50,70,0,2.0,68,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0072,Plastic,50,70,0,1.92,73,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0073,Plastic,50,70,0,0.98,92,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0074,Cardboard,32,50,95,0.75,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0075,Plastic,50,70,0,1.99,82,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0076,Paper/Bio-Based,20,30,98,0.39,99,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0077,Plastic,50,70,0,1.02,84,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0078,Plastic,50,70,0,0.94,88,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0079,Cardboard,32,50,95,0.9,98,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0080,Plastic,50,70,0,1.05,92,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0081,Plastic,50,70,0,1.09,86,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0082,Plastic,50,70,0,2.09,71,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0083,Cardboard,32,50,95,0.86,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0084,Plastic,50,70,0,1.97,63,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0085,Plastic,50,70,0,1.95,68,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0086,Cardboard,32,50,95,0.93,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0087,Plastic,50,70,0,1.23,88,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0088,Plastic,50,70,0,1.9,69,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0089,Paper/Bio-Based,20,30,98,0.42,95,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0090,Paper/Bio-Based,20,30,98,0.57,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0091,Plastic,50,70,0,0.96,95,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0092,Paper/Bio-Based,20,30,98,0.47,97,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0093,Plastic,50,70,0,0.87,82,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0094,Plastic,50,70,0,1.14,100,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0095,Cardboard,32,50,95,0.68,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0096,Cardboard,32,50,95,0.77,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0097,Cardboard,32,50,95,0.78,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0098,Paper/Bio-Based,20,30,98,0.55,99,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0099,Plastic,50,70,0,1.2,84,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0100,Paper/Bio-Based,20,30,98,0.52,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0101,Paper/Bio-Based,20,30,98,0.46,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0102,Steel,250,500,0,3.58,94,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0103,Cardboard,32,50,95,0.79,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0104,Cardboard,32,50,95,0.85,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0105,Plastic,50,70,0,0.92,85,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0106,Plastic,50,70,0,1.96,61,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0107,Plastic,50,70,0,1.17,86,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0108,Plastic,50,70,0,1.07,92,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0109,Plastic,50,70,0,1.08,94,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0110,Plastic,50,70,0,1.13,92,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0111,Cardboard,32,50,95,0.76,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0112,Steel,250,500,0,3.61,95,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0113,Plastic,50,70,0,1.21,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0114,Paper/Bio-Based,20,30,98,0.56,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0115,Cardboard,32,50,95,0.9,94,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0116,Cardboard,32,50,95,0.9,93,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0117,Plastic,50,70,0,1.2,87,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0118,Plastic,50,70,0,1.06,87,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0119,Plastic,50,70,0,1.18,86,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0120,Paper/Bio-Based,20,30,98,0.47,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0121,Cardboard,32,50,95,0.8,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0122,Plastic,50,70,0,1.96,69,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0123,Cardboard,32,50,95,0.73,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0124,Steel,250,500,0,3.56,94,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0125,Plastic,50,70,0,1.12,82,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0126,Plastic,50,70,0,1.06,86,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0127,Cardboard,32,50,95,0.81,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0128,Steel,250,500,0,3.57,93,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0129,Paper/Bio-Based,20,30,98,0.53,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0130,Cardboard,32,50,95,0.85,96,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0131,Plastic,50,70,0,1.06,84,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0132,Cardboard,32,50,95,0.8,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0133,Plastic,50,70,0,1.96,69,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0134,Cardboard,32,50,95,0.72,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0135,Paper/Bio-Based,20,30,98,0.54,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0136,Cardboard,32,50,95,0.88,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0137,Cardboard,32,50,95,0.74,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0138,Plastic,50,70,0,1.14,84,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0139,Plastic,50,70,0,1.06,85,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0140,Cardboard,32,50,95,0.81,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0141,Steel,250,500,0,3.58,94,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0142,Paper/Bio-Based,20,30,98,0.58,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0143,Plastic,50,70,0,1.96,62,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0144,Plastic,50,70,0,1.06,82,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0145,Plastic,50,70,0,1.21,93,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0146,Plastic,50,70,0,0.92,81,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0147,Cardboard,32,50,95,0.76,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0148,Plastic,50,70,0,1.06,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0149,Steel,250,500,0,3.64,96,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0150,Paper/Bio-Based,20,30,98,0.56,94,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0151,Plastic,50,70,0,1.15,94,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0152,Steel,250,500,0,3.58,99,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0153,Plastic,50,70,0,1.0,87,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0154,Cardboard,32,50,95,0.76,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0155,Plastic,50,70,0,1.21,85,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0156,Plastic,50,70,0,1.16,87,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0157,Plastic,50,70,0,2.05,77,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0158,Cardboard,32,50,95,0.77,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0159,Plastic,50,70,0,1.0,81,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0160,Cardboard,32,50,95,0.73,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0161,Paper/Bio-Based,20,30,98,0.53,99,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0162,Steel,250,500,0,3.48,95,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0163,Cardboard,32,50,95,0.85,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0164,Plastic,50,70,0,1.14,88,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0165,Steel,250,500,0,3.61,86,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0166,Cardboard,32,50,95,0.86,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0167,Paper/Bio-Based,20,30,98,0.54,98,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0168,Plastic,50,70,0,1.06,90,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0169,Plastic,50,70,0,2.02,77,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0170,Plastic,50,70,0,1.17,95,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0171,Paper/Bio-Based,20,30,98,0.51,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0172,Cardboard,32,50,95,0.79,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0173,Cardboard,32,50,95,0.79,96,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0174,Plastic,50,70,0,1.21,87,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0175,Cardboard,32,50,95,0.8,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0176,Plastic,50,70,0,0.9,88,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0177,Plastic,50,70,0,1.14,92,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0178,Cardboard,32,50,95,0.92,95,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0179,Steel,250,500,0,3.58,94,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0180,Plastic,50,70,0,2.07,78,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0181,Cardboard,32,50,95,0.8,98,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0182,Plastic,50,70,0,1.2,89,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0183,Plastic,50,70,0,1.07,93,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0184,Plastic,50,70,0,0.96,85,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0185,Paper/Bio-Based,20,30,98,0.52,99,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0186,Cardboard,32,50,95,0.85,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0187,Plastic,50,70,0,1.15,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0188,Plastic,50,70,0,1.08,85,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0189,Steel,250,500,0,3.48,94,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0190,Plastic,50,70,0,1.21,95,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0191,Plastic,50,70,0,1.08,91,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0192,Plastic,50,70,0,1.95,62,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0193,Cardboard,32,50,95,0.88,98,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0194,Plastic,50,70,0,1.07,86,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0195,Steel,250,500,0,3.67,88,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0196,Cardboard,32,50,95,0.85,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0197,Paper/Bio-Based,20,30,98,0.56,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0198,Plastic,50,70,0,1.15,94,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0199,Cardboard,32,50,95,0.72,96,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0200,Plastic,50,70,0,1.15,87,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0201,Plastic,50,70,0,1.01,82,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0202,Cardboard,32,50,95,0.73,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0203,Cardboard,32,50,95,0.92,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0204,Plastic,50,70,0,1.13,94,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0205,Plastic,50,70,0,1.06,94,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0206,Plastic,50,70,0,1.18,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0207,Plastic,50,70,0,2.05,68,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0208,Plastic,50,70,0,1.06,84,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0209,Steel,250,500,0,3.58,97,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0210,Plastic,50,70,0,1.18,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0211,Cardboard,32,50,95,0.76,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0212,Paper/Bio-Based,20,30,98,0.47,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0213,Cardboard,32,50,95,0.74,96,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0214,Plastic,50,70,0,0.92,84,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0215,Plastic,50,70,0,1.18,82,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0216,Cardboard,32,50,95,0.85,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0217,Plastic,50,70,0,1.2,93,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0218,Paper/Bio-Based,20,30,98,0.5,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0219,Plastic,50,70,0,1.18,95,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0220,Cardboard,32,50,95,0.77,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0221,Cardboard,32,50,95,0.76,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0222,Plastic,50,70,0,0.92,95,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0223,Paper/Bio-Based,20,30,98,0.5,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0224,Cardboard,32,50,95,0.85,96,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0225,Plastic,50,70,0,1.96,73,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0226,Plastic,50,70,0,0.92,85,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0227,Cardboard,32,50,95,0.81,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0228,Cardboard,32,50,95,0.73,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0229,Plastic,50,70,0,1.21,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0230,Steel,250,500,0,3.6,88,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0231,Cardboard,32,50,95,0.72,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0232,Paper/Bio-Based,20,30,98,0.52,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0233,Plastic,50,70,0,1.06,84,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0234,Plastic,50,70,0,1.99,62,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0235,Cardboard,32,50,95,0.85,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0236,Plastic,50,70,0,1.15,86,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0237,Cardboard,32,50,95,0.78,98,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0238,Cardboard,32,50,95,0.79,99,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0239,Plastic,50,70,0,0.92,84,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0240,Plastic,50,70,0,1.17,86,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0241,Plastic,50,70,0,1.18,90,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0242,Cardboard,32,50,95,0.78,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0243,Cardboard,32,50,95,0.79,97,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0244,Steel,250,500,0,3.58,95,2.5,"Heavy Industrial Components, High-Security Goods"
