material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level
34,Virgin Paper - Coated,6,6,5,0.95,80,37,Labels & Inserts,Estimate,Medium
35,Virgin Paper - Uncoated,5,5,5,0.9,85,34,Light Packaging,Literature,High
36,Recycled Paper - Coated,6,6,5,0.65,88,32,Labels & Inserts,Estimate,Medium
37,Recycled Paper - High Recycle,5,5,5,0.6,92,29,Light Packaging,Literature,High
38,Virgin Paper - Kraft,7,7,5,0.93,85,36,Mailers,Literature,High
39,Recycled Paper - Kraft,7,7,5,0.64,90,31,Mailers,Literature,High
40,PLA Bioplastic - Rigid,52,11,80,0.52,70,122,Food Packaging,Literature,High
41,PLA Bioplastic - Flexible,48,9,80,0.48,70,118,Food/Cosmetic,Literature,High
42,PLA Bioplastic - Transparent,50,10,80,0.51,70,121,Food/Cosmetic,Estimate,Medium
43,PLA Bioplastic - Industrial Grade,55,12,75,0.6,65,130,Electronics Packaging,Estimate,Medium
44,PLA Bioplastic - Home Compost Grade,45,9,85,0.48,70,119,Food Packaging,Literature,High
45,Compostable Plastic - Starch Blend,38,7,88,0.58,68,108,Food Packaging,Literature,High
46,Compostable Plastic - High Barrier,42,8,82,0.62,70,112,Food Packaging,Estimate,Medium
47,Compostable Plastic - Film,35,6,90,0.55,70,106,Snack Packaging,Estimate,Medium
48,Compostable Plastic - Rigid Tray,40,8,85,0.6,70,111,Ready Meals,Estimate,Medium
49,Compostable Plastic - Cold Use,37,7,88,0.57,70,109,Salad Packaging,Estimate,Medium
50,Conventional Plastic PET - Bottle Grade,62,18,1,3.1,50,82,Beverage Bottles,Literature,High
51,Conventional Plastic PET - Sheet,58,15,1,2.9,50,78,Blister Packs,Literature,High
52,Conventional Plastic PET - Film,55,14,1,2.8,50,76,Flex Packaging,Estimate,Medium
53,Conventional Plastic PET - High Clarity,60,16,1,3.0,50,81,Display Packaging,Literature,High
54,Conventional Plastic PET - Reheat Grade,63,18,1,3.2,50,83,Bottle Preforms,Estimate,Medium
55,Conventional Plastic HDPE - Blow Molding,68,20,1,3.2,55,88,Bottles & Jerrycans,Literature,High
56,Conventional Plastic HDPE - Injection Grade,62,17,1,3.0,55,84,Caps & Closures,Literature,High
57,Conventional Plastic HDPE - Film,58,16,1,2.9,55,82,Bags & Liners,Estimate,Medium
58,Conventional Plastic HDPE - High Rigidity,70,21,1,3.3,55,89,Industrial Pails,Estimate,Medium
59,Conventional Plastic HDPE - Food Grade,65,18,1,3.1,55,86,Food Containers,Literature,High
60,Recycled PET - Clear,60,15,1,1.9,75,92,Bottles,Estimate,Medium
61,Recycled PET - Colored,58,14,1,1.7,70,88,Straps & Fibers,Estimate,Medium
62,Recycled PET - Sheet Grade,59,15,1,1.8,75,90,Blister Packs,Literature,High
63,Recycled PET - Film Grade,57,14,1,1.75,70,89,Flex Packaging,Estimate,Medium
64,Recycled PET - High Recycled Content,60,15,1,1.6,80,93,Bottles & Trays,Estimate,Medium
65,Sugarcane Bagasse - Plate Grade,12,7,90,0.42,80,52,Food Service Ware,Literature,High
66,Sugarcane Bagasse - Bowl Grade,11,6,92,0.39,80,49,Food Service Ware,Literature,High
67,Sugarcane Bagasse - Clamshell,13,8,88,0.43,78,53,Takeaway Packaging,Estimate,Medium
68,Sugarcane Bagasse - Thick Tray,14,9,85,0.45,78,55,Ready Meals,Estimate,Medium
69,Sugarcane Bagasse - Thin Tray,10,5,92,0.38,82,48,Snacks & Bakery,Estimate,Medium
70,Wood Pulp Molded Fiber - Corner Protector,11,8,85,0.52,75,57,Electronics Packaging,Literature,High
71,Wood Pulp Molded Fiber - Insert,9,5,88,0.48,75,54,Electronics Packaging,Literature,High
72,Wood Pulp Molded Fiber - Tray,10,6,86,0.5,75,56,Furniture & Appliances,Estimate,Medium
73,Wood Pulp Molded Fiber - Thicker Grade,12,8,82,0.55,70,59,Heavy Goods,Estimate,Medium
74,Wood Pulp Molded Fiber - Thin Grade,8,4,90,0.47,78,52,Consumer Electronics,Estimate,Medium
75,Corrugated Paperboard - Single Wall,16,20,5,1.2,92,48,Shipping Boxes,Literature,High
76,Corrugated Paperboard - Double Wall,18,25,5,1.25,92,50,Heavy Duty Boxes,Literature,High
77,Corrugated Paperboard - Triple Wall,20,30,5,1.3,92,55,Bulky Appliances,Estimate,Medium
78,Corrugated Paperboard - Lightweight,14,15,5,1.1,92,45,E-commerce Boxes,Estimate,Medium
79,Corrugated Paperboard - Recycled Core,16,20,5,1.0,94,46,General Packaging,Estimate,Medium
80,Cotton Fabric Wrap - Single Layer,18,7,90,0.58,70,95,Gift Packaging,Estimate,Medium
81,Cotton Fabric Wrap - Double Layer,22,9,88,0.62,70,105,Reusable Wraps,Estimate,Medium
82,Cotton Fabric Wrap - Printed,20,8,90,0.6,68,102,Brand Packaging,Estimate,Medium
83,Cotton Fabric Wrap - Organic,19,8,92,0.55,72,110,Premium Packaging,Estimate,Medium
84,Cotton Fabric Wrap - Heavy Weave,24,10,85,0.65,70,115,Carry Bags,Estimate,Medium
85,Jute Bag - Light,22,10,95,0.48,85,85,Grocery Bags,Literature,High
86,Jute Bag - Medium,25,12,95,0.5,85,90,Carry Bags,Literature,High
87,Jute Bag - Heavy,28,15,93,0.52,85,95,Multi-use Bags,Estimate,Medium
88,Jute Bag - Laminated,27,14,80,0.7,75,98,Industrial Bags,Estimate,Medium
89,Jute Bag - Organic,26,13,96,0.49,88,100,Premium Retail,Estimate,Medium
90,PLA Sheet - Thin,48,10,80,0.54,70,120,Bakery Lids,Estimate,Medium
91,PLA Sheet - Medium,50,12,80,0.55,70,125,Food Trays,Literature,High
92,PLA Sheet - Thick,52,14,78,0.6,68,130,Clamshells,Estimate,Medium
93,PLA Sheet - Anti-fog,49,11,80,0.56,70,128,Fresh Produce,Estimate,Medium
94,PLA Sheet - High Transparency,51,12,80,0.55,70,127,Display Packs,Estimate,Medium
95,Polylactic Acid Blend - Flexible,42,9,82,0.49,70,116,Sachets,Estimate,Medium
96,Polylactic Acid Blend - Rigid,47,11,78,0.52,70,120,Tubs & Cups,Estimate,Medium
97,Polylactic Acid Blend - High Impact,50,12,75,0.58,68,124,Electronics Blisters,Estimate,Medium
98,Polylactic Acid Blend - Transparent,45,10,80,0.5,70,118,Display Cartons,Literature,High
99,Polylactic Acid Blend - Home Compost,40,8,85,0.48,72,115,Food/Cosmetic,Estimate,Medium
100,Biodegradable Film - Starch Based,28,7,88,0.58,65,102,Snack Wraps,Literature,High
101,Biodegradable Film - Cellulose Based,32,8,82,0.62,70,108,Overwrap,Estimate,Medium
102,Biodegradable Film - Barrier,30,8,85,0.6,65,105,Snack Packaging,Literature,High
103,Biodegradable Film - Compost Home,26,6,90,0.55,68,100,Food Wrap,Estimate,Medium
104,Biodegradable Film - Industrial,34,9,80,0.65,60,110,Frozen Foods,Estimate,Medium
105,Aluminum Foil - Thin Household,60,12,1,7.5,90,130,Food Wrap,Literature,High
106,Aluminum Foil - Thick Catering,75,22,1,8.2,90,155,Food Trays,Literature,High
107,Aluminum Foil - Laminated,70,20,1,8.5,85,160,Snack Wrap,Estimate,Medium
108,Aluminum Foil - Pharma Grade,72,18,1,8.3,92,165,Blister Packs,Estimate,Medium
109,Aluminum Foil - Industrial,80,25,1,8.8,90,170,Insulation,Estimate,Medium
110,Glass Bottle - Lightweight,85,18,0,2.3,95,115,Beverage,Estimate,Medium
111,Glass Bottle - Returnable,95,28,0,2.7,98,125,Beverage Refill,Literature,High
112,Glass Bottle - Amber,90,25,0,2.6,95,122,Beverages & Pharma,Literature,High
113,Glass Bottle - Fluted,92,26,0,2.5,95,124,Premium Drinks,Estimate,Medium
114,Glass Bottle - Thick Wall,100,30,0,2.8,95,130,Spirits,Estimate,Medium
115,Steel Can - Thin Wall,75,18,0,5.8,90,95,Foods,Literature,High
116,Steel Can - Heavy Wall,85,24,0,6.2,90,105,Bulk Foods,Literature,High
117,Steel Can - Aerosol,80,20,0,6.1,88,102,Personal Care,Estimate,Medium
118,Steel Can - Easy Open,78,19,0,6.0,90,100,Ready Foods,Estimate,Medium
119,Steel Can - BPA Free Lined,80,22,0,6.2,90,108,Premium Foods,Estimate,Medium
120,Mixed Plastic (HDPE+PET) - Rigid,62,16,1,3.6,60,92,Trays & Lids,Estimate,Medium
121,Mixed Plastic (HDPE+PET) - Film,58,14,1,3.4,60,88,Multipack Wrap,Estimate,Medium
122,Mixed Plastic (HDPE+PET) - Laminate,60,15,1,3.5,55,90,Snack Packs,Estimate,Medium
123,Mixed Plastic (HDPE+PET) - Foam,55,12,1,3.3,50,86,Cushioning,Estimate,Medium
124,Mixed Plastic (HDPE+PET) - Shrink,57,13,1,3.4,60,89,Bottle Bundling,Estimate,Medium
125,Recycled Mixed Plastic - Rigid,60,15,1,2.0,70,87,Pallets,Estimate,Medium
126,Recycled Mixed Plastic - Film,55,13,1,1.9,72,82,Garbage Bags,Estimate,Medium
127,Recycled Mixed Plastic - Sheet,58,14,1,2.1,68,84,Construction Boards,Estimate,Medium
128,Recycled Mixed Plastic - Lumber,62,16,1,2.2,65,88,Outdoor Furniture,Estimate,Medium
129,Recycled Mixed Plastic - Foam,50,11,1,1.8,70,80,Cushioning,Estimate,Medium
130,PLA Compostable Pack - Thin,48,9,88,0.54,70,112,Snack Trays,Estimate,Medium
131,PLA Compostable Pack - Thick,52,11,82,0.57,68,118,Meal Trays,Estimate,Medium
132,PLA Compostable Pack - Clear,50,10,85,0.55,70,115,Fresh Produce,Literature,High
133,PLA Compostable Pack - Matte,49,10,85,0.56,70,114,Premium Packs,Estimate,Medium
134,PLA Compostable Pack - Rigid,53,11,80,0.58,68,120,Food/Cosmetics,Estimate,Medium
135,Paper Pulp Tray - Shallow,13,9,80,0.88,88,49,Fruit & Veg,Estimate,Medium
136,Paper Pulp Tray - Deep,15,11,78,0.92,86,52,Ready Meals,Estimate,Medium
137,Paper Pulp Tray - Coated,14,10,75,0.95,85,55,Wet Foods,Estimate,Medium
138,Paper Pulp Tray - Uncoated,14,10,82,0.9,88,50,Dry Foods,Estimate,Medium
139,Paper Pulp Tray - Heavy Duty,16,12,75,1.0,85,58,Meat & Fish,Estimate,Medium
140,Cardboard Sleeve - Light,15,10,5,1.05,92,40,Food Sleeves,Estimate,Medium
141,Cardboard Sleeve - Heavy,17,14,5,1.15,92,44,Electronics Sleeves,Estimate,Medium
142,Cardboard Sleeve - Printed,16,12,5,1.12,90,45,Brand Packaging,Estimate,Medium
143,Cardboard Sleeve - Recycled,16,12,5,0.9,95,41,General Sleeves,Estimate,Medium
144,Cardboard Sleeve - Kraft,16,12,5,1.08,92,43,Eco Sleeves,Estimate,Medium
145,PLA Clamshell - Salad,46,8,80,0.5,70,118,Fresh Salads,Literature,High
146,PLA Clamshell - Bakery,48,9,80,0.52,70,120,Bakery Items,Literature,High
147,PLA Clamshell - Fruit,49,9,80,0.53,70,121,Berries & Fruit,Estimate,Medium
148,PLA Clamshell - Dessert,47,8,82,0.51,70,119,Desserts,Estimate,Medium
149,PLA Clamshell - Takeaway,50,10,78,0.56,68,123,Meals,Estimate,Medium
150,Recycled Cardboard Box - Small Parcel,15,12,5,0.8,95,39,E-commerce,Estimate,Medium
151,Recycled Cardboard Box - Medium Parcel,16,15,5,0.82,95,41,E-commerce,Literature,High
152,Recycled Cardboard Box - Large Parcel,17,18,5,0.85,95,43,E-commerce,Estimate,Medium
153,Recycled Cardboard Box - Extra Heavy,18,22,5,0.9,93,45,Appliances,Estimate,Medium
154,Recycled Cardboard Box - Archive,14,12,5,0.78,96,38,Document Storage,Estimate,Medium
155,Bamboo Fiber Pulp Tray,16,10,90,0.4,80,60,Food Packaging,Literature,High
156,Bamboo Fiber Clamshell,18,12,88,0.42,78,65,Takeaway Food,Estimate,Medium
157,Bamboo Paper Cup Board,14,8,85,0.45,80,58,Hot Cups,Estimate,Medium
158,Bamboo Molded Cushioning,15,9,88,0.43,78,62,Electronics Packaging,Estimate,Medium
159,Bamboo Fiber Plate,13,7,92,0.39,82,57,Disposable Tableware,Estimate,Medium
160,Hemp Fiber Pulp,18,11,92,0.38,80,70,Premium Packaging,Estimate,Medium
161,Hemp Paperboard,20,14,90,0.4,82,75,Boxes & Cartons,Estimate,Medium
162,Hemp Fabric Bag,25,12,95,0.42,85,90,Reusable Bags,Estimate,Medium
163,Hemp Molded Fiber Insert,17,10,90,0.41,80,72,Electronics Inserts,Estimate,Medium
164,Hemp Pulp Tray,16,9,92,0.39,82,68,Food Packaging,Estimate,Medium
165,Mushroom Mycelium Foam,8,5,98,0.3,60,80,Cushioning,Literature,High
166,Mushroom Mycelium Rigid Block,10,7,98,0.32,60,85,Protective Packaging,Literature,High
167,Mushroom Mycelium Corner,9,6,98,0.31,60,82,Electronics Packaging,Estimate,Medium
168,Mushroom Mycelium Insert,7,4,98,0.29,60,78,Small Appliances,Estimate,Medium
169,Mushroom Mycelium Board,11,8,95,0.35,60,88,Panels & Liners,Estimate,Medium
170,Seaweed Bioplastic Film,25,6,90,0.4,65,100,Edible Wraps,Literature,High
171,Seaweed Bioplastic Pouch,28,7,88,0.42,65,105,Dry Foods,Estimate,Medium
172,Seaweed Bioplastic Coating,22,5,92,0.38,65,95,Fiber Barriers,Estimate,Medium
173,Seaweed Bioplastic Laminate,30,8,85,0.45,60,110,Snack Packs,Estimate,Medium
174,Seaweed Bioplastic Rigid,32,9,80,0.5,60,115,Trays,Estimate,Medium
175,Paper Honeycomb Board,18,25,80,1.1,85,70,Furniture Packaging,Literature,High
176,Paper Honeycomb Panel,20,28,80,1.15,85,75,Pallet Tops,Estimate,Medium
177,Paper Honeycomb Cushion,16,20,82,1.05,88,65,Void Fill,Estimate,Medium
178,Paper Honeycomb Edge Protector,19,24,80,1.12,85,72,Edge Protection,Estimate,Medium
179,Paper Honeycomb Pallet,22,30,78,1.2,82,80,Light Pallets,Estimate,Medium
180,Recycled Paper Honeycomb,18,25,82,0.95,90,68,Furniture Packaging,Estimate,Medium
181,Bio-PE (Sugarcane-based),55,15,15,1.5,75,140,Bottles & Caps,Literature,High
182,Bio-PE Film,50,13,20,1.4,75,135,Flex Packaging,Estimate,Medium
183,Bio-PE Rigid,58,17,10,1.6,70,145,Containers,Estimate,Medium
184,Bio-PE Shrink,52,14,20,1.45,75,138,Shrink Wrap,Estimate,Medium
185,Bio-PE Coating,48,12,25,1.35,78,132,Paper Coatings,Estimate,Medium
186,Paper-PLA Laminate,18,12,60,1.0,75,120,Hot Cups,Literature,High
187,Paper-PE Laminate,20,15,5,2.5,65,90,Beverage Cartons,Literature,High
188,Paper-BioPE Laminate,19,14,30,1.8,70,110,Beverage Cartons,Estimate,Medium
189,Cardboard-PLA Laminate,21,18,55,1.2,75,125,Frozen Foods,Estimate,Medium
190,Cardboard-Compostable Laminate,20,17,60,1.05,78,118,Snack Packs,Estimate,Medium
191,Recycled Paper-PLA Laminate,17,12,65,0.9,80,115,Food Service,Estimate,Medium
192,Flexible Paper Wrap,8,4,80,0.7,85,40,Confectionery Wrap,Literature,High
193,Flexible Kraft Paper Wrap,10,5,82,0.75,88,42,Bakery Wrap,Estimate,Medium
194,Glassine Paper Wrap,6,4,75,0.8,80,45,Oily Foods,Estimate,Medium
195,Greaseproof Paper,7,4,78,0.78,80,46,Bakery Wrap,Literature,High
196,Waxed Paper,6,3,70,0.85,50,50,Cheese/Meat Wrap,Estimate,Medium
197,Recycled Flexible Paper Wrap,8,4,82,0.6,90,38,Confectionery Wrap,Estimate,Medium
198,Paper Mailer - Padded,14,8,75,0.9,85,50,E-commerce Mailers,Literature,High
199,Paper Mailer - Rigid,16,10,75,0.95,85,55,Documents,Estimate,Medium
200,Paper Mailer - Lightweight,12,6,80,0.85,90,45,Apparel,Estimate,Medium
201,Paper Mailer - Recycled,14,8,80,0.7,92,48,E-commerce,Estimate,Medium
202,Paper Mailer - Honeycomb,18,10,78,0.98,85,60,Fragile Goods,Estimate,Medium
203,Recycled Plastic Mailer,50,10,1,2.1,70,70,E-commerce,Estimate,Medium
204,Bio-based Plastic Mailer,45,9,40,1.4,65,95,E-commerce,Estimate,Medium
205,Compostable Mailer,35,7,85,0.7,60,105,E-commerce,Literature,High
206,Paper-Padded Compostable Mailer,20,9,80,0.85,70,90,E-commerce,Estimate,Medium
207,Cardboard Envelope,15,7,5,1.0,90,40,Documents,Estimate,Medium
208,Virgin PET Tray,60,15,1,3.0,50,80,Food Trays,Literature,High
209,Recycled PET Tray,60,15,1,1.8,75,88,Food Trays,Literature,High
210,PP Rigid Container,55,14,1,2.5,40,70,Food Containers,Literature,High
211,PP Film,45,10,1,2.3,40,68,Snack Packaging,Literature,High
212,PP Nonwoven,30,8,1,2.1,40,65,Shopping Bags,Estimate,Medium
213,Recycled PP Rigid,55,14,1,1.9,55,72,Containers,Estimate,Medium
214,Recycled PP Film,45,10,1,1.8,55,70,Packaging Film,Estimate,Medium
215,LDPE Film,30,8,1,2.4,30,65,Stretch Wrap,Literature,High
216,Recycled LDPE Film,30,8,1,1.7,45,60,Garbage Bags,Estimate,Medium
217,Bio-based LDPE Film,32,9,10,1.3,55,80,Stretch Wrap,Estimate,Medium
218,Paper Cushioning - Shredded,6,4,85,0.7,90,35,Void Fill,Literature,High
219,Paper Cushioning - Crinkle,7,4,85,0.75,90,37,Gift Packaging,Estimate,Medium
220,Paper Cushioning - Molded,9,5,80,0.8,88,40,Fragile Goods,Estimate,Medium
221,Air Cushion - Virgin Plastic,35,10,1,3.0,50,60,Void Fill,Literature,High
222,Air Cushion - Recycled Plastic,35,10,1,2.0,70,65,Void Fill,Estimate,Medium
223,Air Cushion - Bio-based Plastic,30,9,20,1.4,60,75,Void Fill,Estimate,Medium
224,Paper Air Cushion,10,6,80,0.8,88,50,Void Fill,Estimate,Medium
225,Inflatable Paper-Plastic Hybrid,25,9,60,1.6,70,70,Void Fill,Estimate,Medium
226,EPS Foam (Expanded Polystyrene),15,12,0,5.0,10,40,Electronics Packaging,Literature,High
227,Molded EPS Corner,16,13,0,5.2,10,42,TV Packaging,Estimate,Medium
228,Recycled EPS,15,12,0,3.5,30,38,Insulation,Estimate,Medium
229,EPP Foam (Expanded Polypropylene),18,14,0,4.0,20,55,Returnable Packaging,Estimate,Medium
230,Bio-based Foam,14,10,40,2.0,40,70,Protective Packaging,Estimate,Medium
231,Paper Foam,10,8,80,1.2,70,60,Protective Packaging,Estimate,Medium
232,Molded Pulp Corner - Recycled,11,7,85,0.5,80,52,Electronics,Literature,High
233,Molded Pulp Corner - Virgin,12,8,80,0.6,75,55,Appliances,Estimate,Medium
234,Coconut Fiber Pad,9,6,95,0.4,60,50,Produce Packaging,Estimate,Medium
235,Coconut Fiber Molded Pack,11,7,95,0.42,60,55,Fruit Trays,Estimate,Medium
236,Rice Husk Composite,20,12,85,1.5,60,80,Reusable Tableware,Estimate,Medium
237,Rice Husk Molded Tray,16,10,88,1.3,60,70,Frozen Foods,Estimate,Medium
238,Wheat Straw Pulp Tray,14,10,90,0.45,75,55,Food Trays,Estimate,Medium
239,Wheat Straw Molded Fiber,12,8,92,0.42,75,52,Produce Packaging,Estimate,Medium
240,Kenaf Fiber Board,22,14,85,1.2,70,90,Display Packaging,Estimate,Medium
241,Bagasse-Kenaf Blend Board,18,12,88,1.0,72,80,Food & Retail Packs,Estimate,Medium
242,Bio-based Nylon Film,70,15,10,4.0,60,180,High Barrier Packs,Estimate,Medium
243,Bio-based Nylon Laminate,72,16,10,4.1,60,190,Retort Pouches,Estimate,Medium
244,Paper-Nylon Laminate,25,18,5,3.5,55,150,High Barrier Pouches,Estimate,Medium
245,Recycled Aluminum Sheet,70,20,1,4.0,98,130,General Packaging,Estimate,Medium
246,Aluminum-Cardboard Composite,40,18,5,5.0,70,140,Liquid Cartons,Estimate,Medium
247,Aluminum-PET Laminate,55,20,1,6.0,30,150,Snack Packs,Literature,High
248,Recycled Aluminum-PET Laminate,55,20,1,4.5,50,145,Snack Packs,Estimate,Medium
249,Mono-material PE Pouch,45,12,1,2.5,50,80,Recyclable Pouches,Literature,High
250,Mono-material PP Pouch,48,13,1,2.4,55,82,Recyclable Pouches,Estimate,Medium
251,Mono-material PET Pouch,52,14,1,3.2,60,90,Recyclable Pouches,Estimate,Medium
252,Paper-based Pouch with Dispersion Barrier,20,10,60,1.1,75,95,Snacks,Estimate,Medium
253,Paper-based Pouch with Bio-coating,18,9,65,1.0,78,98,Snacks,Estimate,Medium
254,Recycled Paper-based Pouch,17,9,70,0.9,85,92,Dry Foods,Estimate,Medium
255,Cellulose Film,30,7,85,0.7,70,110,Confectionery,Literature,High
256,Regenerated Cellulose Film,32,8,80,0.75,70,115,Confectionery,Estimate,Medium
257,Cellulose-BioPE Laminate,35,9,60,1.2,68,120,Snacks,Estimate,Medium
258,Home Compostable Cellulose Film,28,6,90,0.65,72,105,Food Packaging,Estimate,Medium
259,PLA-Cellulose Blend Film,40,9,85,0.6,70,118,Food Packaging,Estimate,Medium
260,HDPE-Net Bag,20,12,1,3.0,40,70,Fruit Nets,Literature,High
261,Recycled HDPE-Net Bag,20,12,1,2.1,60,75,Fruit Nets,Estimate,Medium
262,Jute-PP Hybrid Bag,28,16,70,2.0,45,85,Rice & Grain Bags,Estimate,Medium
263,Paper-PP Hybrid Bag,25,14,50,2.1,50,80,Rice & Flour Bags,Estimate,Medium
264,Multiwall Paper Bag,18,16,70,1.2,85,60,Industrial Powders,Literature,High
265,Recycled Multiwall Paper Bag,18,16,75,1.0,90,55,Industrial Powders,Estimate,Medium
266,PE-lined Paper Bag,20,18,5,2.6,65,70,Cement/Grain,Estimate,Medium
267,BioPE-lined Paper Bag,20,18,20,1.9,70,85,Cement/Grain,Estimate,Medium
268,PLA-lined Paper Bag,18,16,60,1.2,72,90,Dry Foods,Estimate,Medium
269,Glass Jar,85,20,0,2.4,95,115,Food/Cosmetics,Literature,High
270,Recycled Glass Jar,85,20,0,2.0,98,110,Food/Cosmetics,Estimate,Medium
271,Lightweight Glass Jar,80,16,0,2.2,95,110,Spreads & Sauces,Estimate,Medium
272,Tempered Glass Jar,95,22,0,2.6,95,125,Premium Foods,Estimate,Medium
273,Glass Ampoule,70,8,0,2.3,95,130,Pharma,Estimate,Medium
274,Returnable Glass Crate,60,25,0,3.0,90,100,Beverage Logistics,Estimate,Medium
275,Wooden Crate,25,30,60,2.5,60,90,Fruit & Vegetables,Literature,High
276,Recycled Wood Crate,25,30,60,1.8,70,85,Fruit & Vegetables,Estimate,Medium
277,Plywood Crate,30,35,50,3.0,50,95,Heavy Machinery,Estimate,Medium
278,OSB Wood Crate,28,32,55,2.8,55,92,General Cargo,Estimate,Medium
279,Bio-based PU Foam,16,11,30,3.0,40,90,Protective Packaging,Estimate,Medium
280,Recycled PU Foam,16,11,0,2.5,50,70,Furniture & Packs,Estimate,Medium
281,Cork Block,20,10,95,0.8,70,85,Protective Inserts,Estimate,Medium
282,Cork Sheet,18,9,95,0.75,70,80,Bottle Gaskets,Estimate,Medium
283,Recycled Rubber Cushion,18,12,0,2.0,50,60,Shock Absorption,Estimate,Medium
284,Virgin Rubber Cushion,20,14,0,2.5,40,70,Shock Absorption,Estimate,Medium
285,Paper-Rubber Hybrid Pad,15,10,50,1.5,55,65,Shock & Vibration,Estimate,Medium
286,Organic Cotton Pouch,18,7,95,0.5,75,110,Small Goods,Estimate,Medium
287,Recycled Cotton Pouch,17,7,90,0.45,80,95,Small Goods,Estimate,Medium
288,Linen Bag,22,10,95,0.55,78,105,Fashion Packaging,Estimate,Medium
289,Bio-based Polyester Fabric,25,12,20,2.0,50,120,Textile Bags,Estimate,Medium
290,Recycled Polyester Fabric,25,12,1,1.8,70,100,Textile Bags,Estimate,Medium
291,Paper Tube - Thin Wall,14,8,75,0.9,90,50,Cosmetic Packaging,Estimate,Medium
292,Paper Tube - Thick Wall,18,12,70,1.0,88,60,Powder Packs,Estimate,Medium
293,Recycled Paper Tube,16,10,80,0.8,92,55,Gift Packs,Estimate,Medium
294,PLA-Coated Paper Tube,17,10,60,0.95,80,70,Cosmetics,Estimate,Medium
295,BioPE-Coated Paper Tube,18,11,25,1.2,78,75,Cosmetics,Estimate,Medium
296,PE Foam Sheet,18,12,1,3.0,30,60,Surface Protection,Literature,High
297,Recycled PE Foam Sheet,18,12,1,2.2,50,63,Surface Protection,Estimate,Medium
298,Bio-based PE Foam Sheet,16,11,15,1.8,55,75,Protective Packaging,Estimate,Medium
299,PET Foam Sheet,20,13,1,3.5,40,80,High Performance Packs,Estimate,Medium
300,EVA Foam Sheet,18,12,1,3.2,30,65,Protective Packaging,Estimate,Medium
301,PLA Foam Sheet,14,9,80,1.0,60,90,Protective Packaging,Estimate,Medium
302,Starch Loose Fill Pellets,10,7,95,0.5,60,70,Void Fill,Literature,High
